,upc,sku,
342,8.87899E+11,0,0
343,70000353116,0,0
344,8.86228E+11,271382043,1
345,8.87899E+11,261081849,1
346,6.34393E+11,0,0
347,7.41271E+11,0,0
348,8.84116E+11,0,0
349,8.879E+11,0,0
350,8.88863E+11,0,0
351,8.89349E+11,283842922,1
352,8.87759E+11,0,0
353,8.84116E+11,0,0
354,8.89028E+11,294505900,1
355,8.89894E+11,0,0
356,22265962862,279342970,1
357,8.86228E+11,261157636,1
358,22265593561,285914901,1
359,8.89234E+11,295866922,1
360,8.89894E+11,285532892,1
361,8.87276E+11,0,0
362,8.86228E+11,260026933,1
363,8.88794E+11,0,0
364,8.84116E+11,267421691,1
365,8.89895E+11,0,0
366,6.18997E+11,0,0
367,8.88864E+11,0,0
368,8.88794E+11,292332801,1
369,7.96891E+11,0,0
370,6.23506E+11,0,0
371,8.86228E+11,0,0
372,8.879E+11,270480585,1
373,7.87468E+11,0,0
374,6.80474E+11,278629564,1
375,7.25184E+11,0,0
376,8.88863E+11,292337586,1
377,6.17561E+11,0,0
378,8.88863E+11,0,0
379,8.88863E+11,287766092,1
380,8.89297E+11,280521932,1
381,8.88793E+11,295866930,1
382,8.89801E+11,285867380,1
383,8.84116E+11,0,0
384,8.88863E+11,0,0
385,8.88863E+11,277111440,1
386,8.88794E+11,292333748,1
387,8.89894E+11,0,0
388,8.89894E+11,285009981,1
389,8.89801E+11,0,0
390,8.88794E+11,0,0
391,8.88794E+11,0,0
392,6.28905E+11,0,0
393,6.41676E+11,0,0
394,8.89661E+11,0,0
395,8.88794E+11,271886242,1
396,8.89661E+11,284120069,1
397,8.86228E+11,264022437,1
398,7.8692E+11,0,0
399,7.66653E+11,0,0
400,7.8692E+11,292340640,1
401,8.86228E+11,281872824,1
402,8.88864E+11,295877435,1
403,8.88864E+11,290195595,1
404,8.879E+11,0,0
405,8.88183E+11,0,0
406,8.88864E+11,290195552,1
407,8.89349E+11,0,0
408,8.88863E+11,280917179,1
409,7.15408E+11,0,0
410,8.88793E+11,265059884,1
411,8.89233E+11,0,0
412,8.88632E+11,268557075,1
413,8.89801E+11,292141919,1
414,8.88794E+11,292334087,1
415,6.02716E+11,0,0
416,6.45743E+11,0,0
417,8.88863E+11,294118866,1
418,8.89801E+11,285643406,1
419,8.88864E+11,290195587,1
420,8.88864E+11,290195574,1
421,81258011482,0,0
422,8.89234E+11,0,0
423,7.35858E+11,276883150,1
424,8.89894E+11,0,0
425,8.89894E+11,0,0
